GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0015871,choline transport,4,1,0.01,0.0054,1
GO:0010041,response to iron(III) ion,6,1,0.01,0.0081,1
GO:0050896,response to stimulus,909,4,1.23,0.009,1
GO:0010039,response to iron ion,8,1,0.01,0.0108,1
GO:0031460,glycine betaine transport,10,1,0.01,0.0135,1
GO:0015697,quaternary ammonium group transport,11,1,0.01,0.0149,1
GO:0015838,amino-acid betaine transport,11,1,0.01,0.0149,1
GO:1902074,response to salt,20,1,0.03,0.0269,1
GO:0072337,modified amino acid transport,21,1,0.03,0.0282,1
GO:1990961,xenobiotic detoxification by transmembra...,21,1,0.03,0.0282,1
GO:0046618,xenobiotic export from cell,23,1,0.03,0.0309,1
GO:0009245,lipid A biosynthetic process,24,1,0.03,0.0322,1
GO:0046493,lipid A metabolic process,24,1,0.03,0.0322,1
GO:0006643,membrane lipid metabolic process,25,1,0.03,0.0335,1
GO:0006664,glycolipid metabolic process,25,1,0.03,0.0335,1
GO:0009247,glycolipid biosynthetic process,25,1,0.03,0.0335,1
GO:0046467,membrane lipid biosynthetic process,25,1,0.03,0.0335,1
GO:1901269,lipooligosaccharide metabolic process,25,1,0.03,0.0335,1
GO:1901271,lipooligosaccharide biosynthetic process,25,1,0.03,0.0335,1
GO:0009628,response to abiotic stimulus,242,2,0.33,0.0361,1
GO:0010447,response to acidic pH,28,1,0.04,0.0375,1
GO:0006805,xenobiotic metabolic process,29,1,0.04,0.0388,1
GO:0071466,cellular response to xenobiotic stimulus,29,1,0.04,0.0388,1
GO:0140115,export across plasma membrane,29,1,0.04,0.0388,1
GO:0015695,organic cation transport,30,1,0.04,0.0401,1
GO:0006974,DNA damage response,262,2,0.36,0.0419,1
GO:0006970,response to osmotic stress,34,1,0.05,0.0454,1
GO:1901264,carbohydrate derivative transport,36,1,0.05,0.048,1
GO:0042908,xenobiotic transport,37,1,0.05,0.0493,1
GO:0009268,response to pH,38,1,0.05,0.0506,1
GO:0009410,response to xenobiotic stimulus,48,1,0.07,0.0636,1
GO:0010038,response to metal ion,49,1,0.07,0.0649,1
GO:0008654,phospholipid biosynthetic process,52,1,0.07,0.0688,1
GO:0009103,lipopolysaccharide biosynthetic process,52,1,0.07,0.0688,1
GO:0008653,lipopolysaccharide metabolic process,53,1,0.07,0.0701,1
GO:0006644,phospholipid metabolic process,55,1,0.07,0.0726,1
GO:0042221,response to chemical,363,2,0.49,0.0767,1
GO:1903509,liposaccharide metabolic process,63,1,0.09,0.0829,1
GO:0033554,cellular response to stress,381,2,0.52,0.0838,1
GO:0140352,export from cell,64,1,0.09,0.0841,1
GO:0098754,detoxification,65,1,0.09,0.0854,1
GO:0009636,response to toxic substance,77,1,0.1,0.1006,1
GO:0000271,polysaccharide biosynthetic process,85,1,0.12,0.1106,1
GO:0010035,response to inorganic substance,85,1,0.12,0.1106,1
GO:0071702,organic substance transport,446,2,0.61,0.1112,1
GO:0005976,polysaccharide metabolic process,98,1,0.13,0.1266,1
GO:0044010,single-species biofilm formation,99,1,0.13,0.1279,1
GO:0051703,biological process involved in intraspec...,99,1,0.13,0.1279,1
GO:0016051,carbohydrate biosynthetic process,104,1,0.14,0.134,1
GO:0042710,biofilm formation,109,1,0.15,0.1401,1
