GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0001539,cilium or flagellum-dependent cell motil...,64,39,1.22,1e-30,0
GO:0071973,bacterial-type flagellum-dependent cell ...,64,39,1.22,1e-30,0
GO:0097588,archaeal or bacterial-type flagellum-dep...,64,39,1.22,1e-30,0
GO:0048870,cell motility,71,39,1.35,1e-30,0
GO:0006935,chemotaxis,37,31,0.7,1e-30,0
GO:0042330,taxis,37,31,0.7,1e-30,0
GO:0040011,locomotion,48,33,0.91,1e-30,0
GO:0044781,bacterial-type flagellum organization,34,23,0.65,1e-30,0
GO:0009605,response to external stimulus,171,31,3.25,5.2e-25,0
GO:0008283,cell population proliferation,78,23,1.48,2.7e-23,0
GO:0030030,cell projection organization,78,23,1.48,2.7e-23,0
GO:0044780,bacterial-type flagellum assembly,27,16,0.51,3.2e-22,0
GO:0030031,cell projection assembly,44,16,0.84,8.2e-18,0
GO:0006996,organelle organization,135,23,2.57,2.2e-17,0
GO:0030254,protein secretion by the type III secret...,9,9,0.17,1.7e-16,0
GO:0042221,response to chemical,363,31,6.9,6e-15,0
GO:0070925,organelle assembly,73,16,1.39,7.1e-14,0
GO:0140694,non-membrane-bounded organelle assembly,73,16,1.39,7.1e-14,0
GO:0071978,bacterial-type flagellum-dependent swarm...,22,10,0.42,1.5e-12,0
GO:0050920,regulation of chemotaxis,5,5,0.1,2.1e-09,0
GO:0071975,cell swimming,5,5,0.1,2.1e-09,0
GO:0071977,bacterial-type flagellum-dependent swimm...,5,5,0.1,2.1e-09,0
GO:0009306,protein secretion,31,9,0.59,2.4e-09,0
GO:0035592,establishment of protein localization to...,31,9,0.59,2.4e-09,0
GO:0071692,protein localization to extracellular re...,31,9,0.59,2.4e-09,0
GO:0032940,secretion by cell,33,9,0.63,4.5e-09,0
GO:0046903,secretion,33,9,0.63,4.5e-09,0
GO:0040012,regulation of locomotion,16,7,0.3,6.1e-09,0
GO:0071806,protein transmembrane transport,41,9,0.78,3.7e-08,0
GO:1902021,regulation of bacterial-type flagellum-d...,13,6,0.25,5.6e-08,0
GO:0016043,cellular component organization,449,25,8.53,1.1e-07,0
GO:0022607,cellular component assembly,238,18,4.52,1.5e-07,0
GO:2000145,regulation of cell motility,15,6,0.29,1.6e-07,0
GO:0071840,cellular component organization or bioge...,487,25,9.26,5.7e-07,0
GO:0031399,regulation of protein modification proce...,5,4,0.1,5.8e-07,0
GO:0032101,regulation of response to external stimu...,11,5,0.21,8.8e-07,1e-04
GO:0140352,export from cell,64,9,1.22,2.1e-06,2e-04
GO:0050896,response to stimulus,909,34,17.28,3.1e-06,2e-04
GO:0009453,energy taxis,3,3,0.06,6.5e-06,4e-04
GO:0009454,aerotaxis,3,3,0.06,6.5e-06,4e-04
GO:0031401,positive regulation of protein modificat...,3,3,0.06,6.5e-06,4e-04
GO:1901873,regulation of post-translational protein...,3,3,0.06,6.5e-06,4e-04
GO:1901875,positive regulation of post-translationa...,3,3,0.06,6.5e-06,4e-04
GO:0036211,protein modification process,40,7,0.76,7e-06,5e-04
GO:0008104,protein localization,94,10,1.79,7.2e-06,5e-04
GO:0070727,cellular macromolecule localization,94,10,1.79,7.2e-06,5e-04
GO:0044085,cellular component biogenesis,316,18,6.01,1e-05,6e-04
GO:0051641,cellular localization,128,11,2.43,1.9e-05,0.0011
GO:0015031,protein transport,84,9,1.6,2.1e-05,0.0012
GO:0007165,signal transduction,85,9,1.62,2.3e-05,0.0013
