GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0006821,chloride transport,4,1,0.01,0.014,1
GO:1902476,chloride transmembrane transport,4,1,0.01,0.014,1
GO:0006820,monoatomic anion transport,13,1,0.04,0.043,1
GO:0098656,monoatomic anion transmembrane transport,13,1,0.04,0.043,1
GO:0046459,short-chain fatty acid metabolic process,20,1,0.07,0.066,1
GO:0098661,inorganic anion transmembrane transport,23,1,0.08,0.075,1
GO:0015698,inorganic anion transport,31,1,0.11,0.101,1
GO:0043709,cell adhesion involved in single-species...,31,1,0.11,0.101,1
GO:0061077,chaperone-mediated protein folding,35,1,0.12,0.113,1
GO:0043708,cell adhesion involved in biofilm format...,36,1,0.12,0.116,1
GO:0031589,cell-substrate adhesion,38,1,0.13,0.122,1
GO:0055085,transmembrane transport,594,4,2.02,0.123,1
GO:0043711,pilus organization,44,1,0.15,0.14,1
GO:0090609,single-species submerged biofilm formati...,46,1,0.16,0.146,1
GO:0007155,cell adhesion,47,1,0.16,0.149,1
GO:0006457,protein folding,50,1,0.17,0.158,1
GO:0006810,transport,674,4,2.29,0.176,1
GO:0090605,submerged biofilm formation,57,1,0.19,0.178,1
GO:0051234,establishment of localization,681,4,2.31,0.182,1
GO:0051179,localization,685,4,2.33,0.184,1
GO:0006631,fatty acid metabolic process,66,1,0.22,0.203,1
GO:0071555,cell wall organization,67,1,0.23,0.206,1
GO:0009063,amino acid catabolic process,69,1,0.23,0.211,1
GO:0008283,cell population proliferation,78,1,0.26,0.236,1
GO:0030030,cell projection organization,78,1,0.26,0.236,1
GO:0071554,cell wall organization or biogenesis,78,1,0.26,0.236,1
GO:0051604,protein maturation,83,1,0.28,0.249,1
GO:0045229,external encapsulating structure organiz...,88,1,0.3,0.262,1
GO:0006508,proteolysis,95,1,0.32,0.28,1
GO:0044010,single-species biofilm formation,99,1,0.34,0.29,1
GO:0051703,biological process involved in intraspec...,99,1,0.34,0.29,1
GO:0042710,biofilm formation,109,1,0.37,0.314,1
GO:0098630,aggregation of unicellular organisms,109,1,0.37,0.314,1
GO:0098743,cell aggregation,109,1,0.37,0.314,1
GO:0019538,protein metabolic process,355,2,1.21,0.344,1
GO:0044255,cellular lipid metabolic process,122,1,0.41,0.345,1
GO:0098660,inorganic ion transmembrane transport,139,1,0.47,0.384,1
GO:0034220,monoatomic ion transmembrane transport,156,1,0.53,0.42,1
GO:0006629,lipid metabolic process,171,1,0.58,0.451,1
GO:0016043,cellular component organization,449,2,1.52,0.465,1
GO:0046395,carboxylic acid catabolic process,181,1,0.61,0.47,1
GO:0016054,organic acid catabolic process,191,1,0.65,0.489,1
GO:1901565,organonitrogen compound catabolic proces...,198,1,0.67,0.502,1
GO:0019752,carboxylic acid metabolic process,483,2,1.64,0.506,1
GO:0006811,monoatomic ion transport,203,1,0.69,0.511,1
GO:0071840,cellular component organization or bioge...,487,2,1.65,0.511,1
GO:0043436,oxoacid metabolic process,512,2,1.74,0.54,1
GO:0032787,monocarboxylic acid metabolic process,221,1,0.75,0.542,1
GO:0006082,organic acid metabolic process,525,2,1.78,0.555,1
GO:0006520,amino acid metabolic process,241,1,0.82,0.575,1
