GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0042777,proton motive force-driven plasma membra...,8,7,0.08,4.3e-14,0
GO:0006754,ATP biosynthetic process,9,7,0.09,1.9e-13,0
GO:0015986,proton motive force-driven ATP synthesis,9,7,0.09,1.9e-13,0
GO:0046034,ATP metabolic process,9,7,0.09,1.9e-13,0
GO:0009145,purine nucleoside triphosphate biosynthe...,11,7,0.11,1.7e-12,0
GO:0009205,purine ribonucleoside triphosphate metab...,11,7,0.11,1.7e-12,0
GO:0009206,purine ribonucleoside triphosphate biosy...,11,7,0.11,1.7e-12,0
GO:0009201,ribonucleoside triphosphate biosynthetic...,14,7,0.14,1.8e-11,0
GO:0009144,purine nucleoside triphosphate metabolic...,15,7,0.15,3.3e-11,0
GO:0009199,ribonucleoside triphosphate metabolic pr...,15,7,0.15,3.3e-11,0
GO:0009142,nucleoside triphosphate biosynthetic pro...,19,7,0.19,2.5e-10,0
GO:0006163,purine nucleotide metabolic process,90,11,0.92,4.0e-10,0
GO:0009141,nucleoside triphosphate metabolic proces...,24,7,0.24,1.7e-09,0
GO:0072521,purine-containing compound metabolic pro...,109,11,1.11,3.3e-09,0
GO:0009152,purine ribonucleotide biosynthetic proce...,46,8,0.47,8.5e-09,0
GO:0009117,nucleotide metabolic process,141,11,1.44,5.1e-08,0
GO:0009150,purine ribonucleotide metabolic process,58,8,0.59,5.8e-08,0
GO:0019637,organophosphate metabolic process,265,14,2.7,6.3e-08,0
GO:0006164,purine nucleotide biosynthetic process,59,8,0.6,6.6e-08,0
GO:0006753,nucleoside phosphate metabolic process,145,11,1.48,6.9e-08,0
GO:0009260,ribonucleotide biosynthetic process,60,8,0.61,7.6e-08,0
GO:0046390,ribose phosphate biosynthetic process,63,8,0.64,1.1e-07,0
GO:0072522,purine-containing compound biosynthetic ...,63,8,0.64,1.1e-07,0
GO:0009259,ribonucleotide metabolic process,75,8,0.76,4.5e-07,1e-04
GO:0090407,organophosphate biosynthetic process,182,11,1.85,7.2e-07,1e-04
GO:1902600,proton transmembrane transport,55,7,0.56,7.8e-07,1e-04
GO:0019693,ribose phosphate metabolic process,81,8,0.82,8.3e-07,1e-04
GO:1901135,carbohydrate derivative metabolic proces...,337,14,3.43,1.3e-06,1e-04
GO:0006796,phosphate-containing compound metabolic ...,393,15,4,1.3e-06,1e-04
GO:0006793,phosphorus metabolic process,416,15,4.24,2.8e-06,3e-04
GO:0009165,nucleotide biosynthetic process,95,8,0.97,2.8e-06,3e-04
GO:1901293,nucleoside phosphate biosynthetic proces...,95,8,0.97,2.8e-06,3e-04
GO:0055086,nucleobase-containing small molecule met...,211,11,2.15,3.2e-06,3e-04
GO:0034220,monoatomic ion transmembrane transport,156,9,1.59,1.4e-05,0.0012
GO:0072524,pyridine-containing compound metabolic p...,36,5,0.37,2.3e-05,0.0019
GO:0009052,pentose-phosphate shunt, non-oxidative b...,7,3,0.07,3.2e-05,0.0026
GO:0044281,small molecule metabolic process,841,19,8.56,7.1e-05,0.0055
GO:0006811,monoatomic ion transport,203,9,2.07,0.00012,0.0091
GO:0098662,inorganic cation transmembrane transport,120,7,1.22,0.00015,0.0111
GO:0006812,monoatomic cation transport,164,8,1.67,0.00016,0.0116
GO:0098655,monoatomic cation transmembrane transpor...,124,7,1.26,0.00018,0.0127
GO:0006098,pentose-phosphate shunt,12,3,0.12,0.00020,0.0138
GO:1901137,carbohydrate derivative biosynthetic pro...,219,9,2.23,0.00021,0.0141
GO:0042867,pyruvate catabolic process,3,2,0.03,0.00030,0.0197
GO:0006740,NADPH regeneration,14,3,0.14,0.00032,0.0205
GO:0098660,inorganic ion transmembrane transport,139,7,1.42,0.00037,0.0232
GO:0051156,glucose 6-phosphate metabolic process,15,3,0.15,0.00040,0.0241
GO:0046483,heterocycle metabolic process,945,19,9.62,0.00040,0.0241
GO:0034641,cellular nitrogen compound metabolic pro...,1044,20,10.63,0.00046,0.0271
GO:0006725,cellular aromatic compound metabolic pro...,956,19,9.74,0.00047,0.0272
